City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Khatanga,71.9667,102.5,-21.1,83,0,4.52,RU,1613005174
Castro,-24.7911,-50.0119,60.24,97,100,8.5,BR,1613005137
Khāsh,28.2211,61.2158,46.36,45,100,3.18,IR,1613005174
Kahului,20.8947,-156.47,78.8,47,20,23.02,US,1613004990
Bend,44.0582,-121.3153,46.4,23,40,13.8,US,1613004940
Macouria,4.9167,-52.3667,75.2,100,90,3.44,GF,1613005174
Tiarei,-17.5333,-149.3333,82.4,61,75,9.22,PF,1613005174
Tiksi,71.6872,128.8694,-10.89,89,65,3.96,RU,1613005174
Qaanaaq,77.484,-69.3632,9.48,74,99,9.37,GL,1613005175
Grand,38.8755,-109.5012,53.6,32,20,5.75,US,1613005175
Jumla,29.2747,82.1838,34.57,66,0,5.57,NP,1613005175
Tornio,65.8481,24.1466,-18.4,83,0,4.61,FI,1613005175
Cabo,-8.2833,-35.0333,80.6,69,75,9.22,BR,1613005175
Bethel,41.3712,-73.414,27.0,74,1,4.61,US,1613005175
Departamento de Maldonado,-34.6667,-54.9167,70.0,88,75,14.97,UY,1613005166
Salalah,17.0151,54.0924,73.4,38,0,9.22,OM,1613005175
Port,-7.0349,29.7638,72.52,75,100,6.26,CD,1613005175
Atuona,-9.8,-139.0333,78.75,80,2,16.44,PF,1613005175
Hobart,-42.8794,147.3294,73.0,46,0,5.75,AU,1613005081
Rikitea,-23.1203,-134.9692,78.42,78,6,14.05,PF,1613005175
Caxito,-8.5785,13.6643,78.8,83,0,3.44,AO,1613005176
Mount,53.6597,-1.8537,28.0,84,23,1.01,GB,1613005176
Fort,52.6517,6.3861,26.6,74,90,3.44,NL,1613005176
Marquette,46.5333,-87.6335,3.99,54,2,5.01,US,1613005176
Butaritari,3.0707,172.7902,81.86,75,100,14.83,KI,1613005176
Ulladulla,-35.35,150.4667,75.2,60,20,9.22,AU,1613005176
Wuwei,37.9281,102.6414,34.27,72,0,5.66,CN,1613005093
Airai,-8.9266,125.4092,71.49,81,100,1.83,TL,1613005176
Saskylakh,71.9167,114.0833,-23.17,83,0,7.0,RU,1613005176
Pochinki,54.6988,44.8668,4.12,94,100,9.17,RU,1613005176
Bubaque,11.2833,-15.8333,77.76,64,53,8.84,GW,1613005176
Acapulco de Juárez,16.8634,-99.8901,82.4,65,40,9.22,MX,1613005050
Saint-Philippe,-21.3585,55.7679,77.0,73,0,4.61,RE,1613005177
Yablonovo,50.8523,37.3574,23.0,100,90,4.47,RU,1613005177
Yabrūd,33.9674,36.6574,42.8,87,0,9.22,SY,1613005177
Trairi,-3.2778,-39.2689,80.22,81,93,8.72,BR,1613005177
Carnarvon,-24.8667,113.6333,73.4,64,75,20.71,AU,1613005177
Maïné Soroa,13.2114,12.0241,66.54,23,0,9.84,NE,1613005177
Kutum,14.2,24.6667,58.68,35,0,8.48,SD,1613005177
Egvekinot,66.3167,-179.1667,-23.93,83,2,12.3,RU,1613005177
Terrace,54.5163,-128.6035,6.8,51,1,17.27,CA,1613005177
Fare,-16.7,-151.0167,80.37,74,1,18.75,PF,1613005177
Lalibela,12.0333,39.0333,46.63,75,100,1.41,ET,1613005177
Zhigansk,66.7697,123.3711,-15.29,86,100,11.43,RU,1613005178
Świnoujście,53.9105,14.2471,28.0,85,75,1.14,PL,1613005178
Faya,18.3851,42.4509,51.8,71,0,1.5,SA,1613005178
El Puerto de Santa María,36.5939,-6.233,60.01,100,90,2.3,ES,1613005178
Klaksvík,62.2266,-6.589,24.8,80,8,1.14,FO,1613005178
Fountain,38.6822,-104.7008,19.4,92,90,9.22,US,1613005112
Baní,18.2833,-70.3333,79.0,72,44,1.99,DO,1613005178
Viedma,-40.8135,-62.9967,66.99,68,3,19.89,AR,1613005178
Tondano,1.3038,124.9112,86.0,79,20,2.3,ID,1613005178
Oyotún,-6.8519,-79.3036,78.8,61,0,16.11,PE,1613005178
Bambous,-20.2567,57.4061,79.0,73,40,9.22,MU,1613005179
Lebu,-37.6167,-73.65,60.22,93,2,9.06,CL,1613005179
Aklavik,68.2191,-135.0107,-25.6,75,0,4.61,CA,1613005179
Arraial,-22.8362,-46.646,71.01,78,0,10.36,BR,1613005179
Nagtipunan,16.2167,121.6,81.37,67,2,0.54,PH,1613005179
Anadyr,64.75,177.4833,-13.0,70,0,2.24,RU,1613005179
Vikeså,58.6376,6.0913,21.99,63,0,2.3,NO,1613005179
Sasolburg,-26.8136,27.817,63.25,84,100,9.93,ZA,1613005179
Mahébourg,-20.4081,57.7,78.8,73,40,9.22,MU,1613004908
Tilichiki,60.4667,166.1,-7.55,90,100,11.99,RU,1613005179
Half,6.3807,-10.6953,77.0,94,20,5.1,LR,1613005180
Lüderitz,-26.6481,15.1594,66.0,79,91,4.5,NA,1613005180
Kapaa,22.0752,-159.319,75.2,57,75,11.5,US,1613005180
Ewa,-8.6235,122.5073,79.47,79,100,1.21,ID,1613005180
Brooks,50.5834,-111.8851,-16.6,63,100,6.91,CA,1613005118
Mys,62.0589,48.6201,-14.51,88,13,1.36,RU,1613005180
Oddur,4.1213,43.8894,66.97,83,34,17.98,SO,1613005180
Mar,43.4002,-4.0094,50.0,93,0,2.3,ES,1613005180
Kruisfontein,-34.0033,24.7314,70.0,90,12,1.01,ZA,1613005180
Ulaangom,49.9811,92.0667,1.13,66,13,3.33,MN,1613005181
Yuyao,30.05,121.1494,51.01,100,90,4.47,CN,1613005181
Demyansk,57.643,32.466,4.75,93,100,5.7,RU,1613005181
Talnakh,69.4865,88.3972,-15.72,80,0,2.93,RU,1613005181
Clyde,41.3042,-82.9752,16.0,89,100,8.68,US,1613005181
Eureka,40.8021,-124.1637,55.99,75,29,1.99,US,1613005046
Teluknaga,-6.0989,106.6381,84.0,83,20,9.22,ID,1613005181
Bonthe,7.5264,-12.505,77.88,87,69,4.81,SL,1613005181
Bathsheba,13.2167,-59.5167,78.8,61,40,19.57,BB,1613005182
Cagayan,6.9747,118.5144,81.3,81,58,11.18,PH,1613005182
Grand-Santi,4.25,-54.3833,73.17,89,76,3.51,GF,1613005182
Erenhot,43.6475,111.9767,32.18,86,19,24.36,CN,1613005182
Bandarbeyla,9.4942,50.8122,73.33,77,100,16.55,SO,1613005182
Hilo,19.7297,-155.09,78.8,57,90,8.05,US,1613005182
Fortuna,40.5982,-124.1573,55.99,76,1,11.5,US,1613005182
Cidreira,-30.1811,-50.2056,74.08,82,82,15.77,BR,1613005183
North,50.3333,3.6667,25.0,93,20,5.75,FR,1613005165
Gornopravdinsk,60.05,69.9,-24.97,85,0,5.3,RU,1613005183
Avarua,-21.2078,-159.775,86.0,70,40,6.91,CK,1613005183
Yarmouth,41.7057,-70.2286,28.99,86,1,11.45,US,1613005183
Jasper,37.2001,-94.3502,16.0,79,90,12.66,US,1613005183
Faanui,-16.4833,-151.75,82.87,67,0,14.85,PF,1613005183
Leningradskiy,69.3833,178.4167,-27.96,83,0,6.71,RU,1613005183
Beisfjord,68.3751,17.5988,14.0,92,20,1.14,NO,1613005183
Morant,17.9,-76.4333,82.4,69,20,10.36,JM,1613005183
Port,-7.0349,29.7638,72.52,75,100,6.26,CD,1613005184
Deputatsky,69.3,139.9,-21.8,90,58,3.42,RU,1613005184
Clearwater,27.9659,-82.8001,71.01,94,5,5.75,US,1613005082
Agadez,19.75,10.25,61.41,26,0,0.85,NE,1613005184
Ostrovnoy,68.0531,39.5131,5.38,92,8,15.57,RU,1613005184
Geraldton,-28.7667,114.6,71.6,46,0,19.57,AU,1613005184
Marabba,12.35,32.1833,72.97,21,0,9.17,SD,1613005184
Nanortalik,60.1432,-45.2371,22.59,88,20,11.36,GL,1613005184
Hamilton,39.1834,-84.5333,21.99,93,90,10.36,US,1613005184
Chokurdakh,70.6333,147.9167,-12.12,89,30,7.45,RU,1613005184
Uyskoye,54.3775,60.0047,-6.79,91,100,2.73,RU,1613005184
Saint-Pierre,-21.3393,55.4781,77.0,73,0,4.61,RE,1613005185
Provideniya,64.3833,-173.3,-7.6,64,0,24.61,RU,1613005185
Georgiyevskoye,58.731,45.024,-9.96,91,90,5.57,RU,1613005185
Sinazongwe,-17.2614,27.4618,73.42,83,98,4.63,ZM,1613005185
Hong Kong,22.2855,114.1577,62.01,83,0,1.99,HK,1613005039
Belmonte,-15.8631,-38.8828,77.0,78,0,8.05,BR,1613005185
Filingué,14.3521,3.3168,73.78,17,0,8.12,NE,1613005185
Saint-Louis,16.3333,-15.0,77.0,27,0,2.3,SN,1613005185
Hirara,24.8,125.2833,68.0,94,75,19.57,JP,1613005185
Kuala,3.377,98.6189,77.0,100,40,2.3,ID,1613005185
Sirte,31.2089,16.5887,65.7,30,0,18.37,LY,1613005186
Manaus,-3.1019,-60.025,80.6,89,20,4.61,BR,1613005186
Cape,-36.413,-71.9028,69.03,61,0,3.31,CL,1613005186
Mehamn,71.0357,27.8492,20.59,88,100,4.27,NO,1613005186
Port-Gentil,-0.7193,8.7815,81.81,82,99,6.17,GA,1613005186
Maxcanú,20.5833,-89.9833,86.0,48,1,11.5,MX,1613005186
Sarakhs,36.5449,61.1577,44.6,76,0,2.3,IR,1613005186
Nikolskoye,59.7035,30.7861,8.01,85,0,4.47,RU,1613005186
Petauke,-14.2426,31.3253,65.82,95,99,2.35,ZM,1613004920
Kumul,42.8,93.45,27.88,81,6,8.99,CN,1613005186
Izazi,-7.2,35.7333,62.6,94,90,1.92,TZ,1613005186
Eyl,7.9803,49.8164,70.97,74,57,12.75,SO,1613005186
Kavieng,-2.5744,150.7967,83.07,74,93,6.91,PG,1613005187
San,13.3034,-4.8956,77.22,17,91,8.72,ML,1613004919
Dakar,14.6937,-17.4441,66.2,77,0,8.05,SN,1613005133
Dikson,73.5069,80.5464,-21.95,88,2,7.23,RU,1613005187
Najrān,17.4924,44.1277,53.6,71,0,2.3,SA,1613005187
Iúna,-20.3458,-41.5358,65.41,93,20,0.67,BR,1613005187
Lake,42.3334,-88.0006,12.2,52,90,5.75,US,1613005187
Mangai,-4.05,19.5333,74.07,81,100,1.74,CD,1613004904
Coquimbo,-29.9533,-71.3436,62.6,88,75,9.22,CL,1613005187
Umarkot,25.3616,69.7362,58.59,31,45,4.29,PK,1613005188
Whitefish,48.4111,-114.3376,8.6,66,90,17.27,US,1613005095
Pevek,69.7008,170.3133,-14.17,70,0,2.26,RU,1613005188
Lakeside,30.13,-81.7682,69.8,88,75,6.91,US,1613005188
Sitka,57.0531,-135.33,28.4,34,1,6.91,US,1613005188
Omboué,-1.5746,9.2618,78.76,89,100,2.08,GA,1613005188
Krasnokamensk,50.0979,118.0369,6.01,94,100,5.7,RU,1613005188
Urucará,-2.5364,-57.76,74.82,94,99,1.81,BR,1613005188
Kalakamati,-20.5929,27.3121,66.02,88,100,11.27,BW,1613005188
East,65.0,-15.0,28.4,80,75,9.22,IS,1613005188
Caravelas,-17.7125,-39.2481,75.87,81,0,4.83,BR,1613005188
Yellowknife,62.456,-114.3525,-7.6,71,20,5.75,CA,1613005188
Kilindoni,-7.9139,39.6668,82.26,78,100,16.22,TZ,1613005189
Yumen,40.2833,97.2,30.29,78,12,7.87,CN,1613005189
Isangel,-19.55,169.2667,87.8,70,40,5.75,VU,1613005189
Cauquenes,-35.9671,-72.3225,66.16,69,1,4.65,CL,1613005189
Severo-Kuril'sk,50.6789,156.125,28.36,90,100,18.86,RU,1613005189
Kultuk,51.7208,103.6956,12.04,91,100,3.65,RU,1613005189
Budapest,47.498,19.0399,34.0,100,90,14.97,HU,1613005142
Estevan,49.1334,-102.9842,-16.6,63,1,12.66,CA,1613005189
Lorengau,-2.0226,147.2712,82.9,76,100,12.24,PG,1613005189
Thurso,58.5927,-3.5259,21.2,79,35,5.75,GB,1613005189
Longyearbyen,78.2186,15.6401,6.8,72,75,18.41,SJ,1613005190
Quepos,9.4236,-84.1652,69.8,68,20,14.97,CR,1613005039
Eten,-6.9081,-79.8642,78.8,61,0,16.11,PE,1613005190
Ilulissat,69.2167,-51.1,12.2,57,0,11.5,GL,1613005190
Alofi,-19.0595,-169.9187,86.0,70,100,10.36,NU,1613005190
Cap,49.2718,-1.2104,32.0,64,75,16.11,FR,1613005190
Praia,14.9215,-23.5087,68.0,83,40,11.5,CV,1613005190
Katsuura,35.1333,140.3,51.8,46,0,18.41,JP,1613005190
San,13.3034,-4.8956,77.22,17,91,8.72,ML,1613005094
Bundaberg,-24.85,152.35,82.4,47,75,10.36,AU,1613005190
Condado,21.8767,-79.8403,77.0,83,6,8.05,CU,1613005190
Meiringen,46.7268,8.184,28.99,86,90,21.85,CH,1613005190
Totness,5.8833,-56.3167,76.71,80,0,11.99,SR,1613005190
Wichita,37.6922,-97.3375,16.0,79,90,12.66,US,1613005025
Kendari,-3.945,122.4989,86.49,68,64,1.45,ID,1613005191
Mzimba,-11.9,33.6,62.71,95,100,1.3,MW,1613005191
Andenes,69.3143,16.1194,32.0,51,90,13.8,NO,1613005191
Wembley,-31.9333,115.8,66.99,52,20,16.11,AU,1613005191
Taunggyi,20.7833,97.0333,53.58,63,0,2.44,MM,1613005191
Curitiba,-25.504,-49.2908,66.2,94,75,6.91,BR,1613005191
Kahna Nau,31.3692,74.3653,53.6,94,0,0.92,PK,1613005191
San,13.3034,-4.8956,77.22,17,91,8.72,ML,1613005082
Lobito,-12.3481,13.5456,76.5,79,100,4.43,AO,1613005191
Vila,42.0304,-8.1588,48.0,95,100,6.08,PT,1613005191
Sharjah city,25.3573,55.4033,68.0,88,91,3.44,AE,1613005113
Matanza,7.3223,-73.0152,61.59,76,34,4.36,CO,1613005191
Broome,42.2506,-75.833,19.99,49,90,4.61,US,1613005192
Contamana,-7.3333,-75.0167,79.27,75,100,3.13,PE,1613005192
Margate,51.3813,1.3862,34.0,66,100,1.99,GB,1613005192
Lagoa,39.05,-27.9833,57.78,67,44,36.78,PT,1613005192
San,13.3034,-4.8956,77.22,17,91,8.72,ML,1613004919
Beringovskiy,63.05,179.3167,-20.87,86,73,14.2,RU,1613005192
Kedrovyy,56.1667,91.8167,-5.8,71,100,8.95,RU,1613005192
Kavaratti,10.5669,72.642,81.05,64,100,9.42,IN,1613005192
Rafaela,-31.2503,-61.4867,72.0,56,47,1.99,AR,1613005192
Oytal,42.9057,73.2697,40.96,68,100,5.32,KZ,1613005192
Eisenach,50.9833,10.3167,14.0,87,100,2.75,DE,1613005192
Chui,-33.6971,-53.4616,70.05,87,96,10.25,UY,1613005193
Sørland,67.667,12.6934,32.5,84,98,9.69,NO,1613005193
Norman,35.2226,-97.4395,19.99,93,90,16.11,US,1613005163
Marsa,35.8792,14.4953,59.0,67,40,32.21,MT,1613005193
Khyriv,49.5333,22.8524,23.0,97,100,7.67,UA,1613005193
Jaru,-10.4389,-62.4664,72.25,96,100,3.09,BR,1613005193
Gizo Government Station,-8.103,156.8419,84.69,71,99,7.94,SB,1613005193
Imbituba,-28.24,-48.6703,71.6,88,40,1.14,BR,1613005193
Okhotsk,59.3833,143.3,22.87,92,100,12.95,RU,1613005193
Pisco,-13.7,-76.2167,75.2,78,90,3.44,PE,1613005193
Maceió,-9.6658,-35.7353,75.2,94,75,3.44,BR,1613004968
Kailua,21.4022,-157.7394,78.8,53,75,11.5,US,1613005166
Camaná,-16.6228,-72.7111,72.16,76,75,4.85,PE,1613005194
La Santisima Trinidad,-14.8333,-64.9,69.94,97,100,3.36,BO,1613005088
George Town,5.4112,100.3354,80.6,88,20,5.28,MY,1613005117
Bukachacha,52.9833,116.9167,13.93,94,100,3.33,RU,1613005194
Sao,20.5113,76.2129,61.02,30,100,2.08,IN,1613005194
Alexandria,31.2156,29.9553,51.8,93,0,4.68,EG,1613005194
Dalbandin,28.8947,64.4101,51.89,39,67,4.45,PK,1613005194
Vilcún,-38.65,-72.2333,68.0,68,0,10.36,CL,1613005194
Saint Paul Harbor,57.79,-152.4072,39.2,75,90,35.68,US,1613005195
Shache,38.4167,77.2406,41.7,56,32,6.29,CN,1613005195
Cibitoke Province,-2.8833,29.25,63.99,90,100,2.06,BI,1613005195
Kuching,1.55,110.3333,78.8,94,20,2.3,MY,1613005195
Vanimo,-2.6741,141.3028,79.93,79,97,4.79,PG,1613005195
Astara,38.5,48.6667,49.23,50,63,2.86,AZ,1613005195
Palmas,-10.2128,-48.3603,75.2,94,40,4.61,BR,1613004922
Binga,-17.6203,27.3414,70.27,89,100,4.18,ZW,1613005195
Bonavista,48.6499,-53.1147,21.99,73,100,11.5,CA,1613005195
Novopokrovka,49.8425,36.5477,30.2,100,75,8.95,UA,1613005196
Worthington,40.0931,-83.018,21.99,86,90,10.36,US,1613005196
Tanete,-3.9443,119.7848,88.88,55,97,3.8,ID,1613005196
Olinda,-8.0089,-34.8553,80.6,69,75,9.22,BR,1613005196
Linjiang,41.8069,126.9078,27.01,88,0,2.21,CN,1613005166
Ginda,30.6945,78.4932,43.83,38,0,6.73,IN,1613005196
Codrington,-38.2667,141.9667,88.59,29,99,19.33,AU,1613005196
Helong,42.5397,128.9972,32.14,85,4,5.75,CN,1613005196
Chikitigarh,19.2,84.6167,62.85,68,0,2.35,IN,1613005196
Vardø,70.3705,31.1107,24.22,88,100,13.82,NO,1613005196
Barma,8.35,-11.3333,71.44,89,3,1.41,SL,1613005196
Poum,-20.2333,164.0167,79.41,73,5,15.28,NC,1613005196
Pangkalanbuun,-2.6833,111.6167,81.27,78,100,3.76,ID,1613005197
Haines,59.2286,-135.4441,8.6,33,1,18.41,US,1613005197
Ambatondrazaka,-17.8333,48.4167,65.97,93,100,2.28,MG,1613005197
Labuhan,-6.8844,112.2051,80.33,82,100,5.97,ID,1613005197
Kirovskiy,45.0917,133.5136,14.88,95,75,3.04,RU,1613005197
Belaya,49.029,25.7706,32.0,89,100,10.67,UA,1613005197
Karhal,27.0003,78.9414,54.28,75,0,1.16,IN,1613005197
Sinnamary,5.3833,-52.95,77.38,83,67,13.0,GF,1613005197
Ketchikan,55.3422,-131.6461,24.8,33,1,8.05,US,1613005197
Rocha,-34.4833,-54.3333,67.3,92,100,8.41,UY,1613005197
Guerrero,17.6667,-100.0,67.33,64,9,5.03,MX,1613005197
Kuli,42.0185,47.2434,44.6,81,40,2.3,RU,1613005198
Varberg,57.1056,12.2508,19.0,85,91,11.01,SE,1613005198
Atar,20.5169,-13.0499,65.44,22,0,8.63,MR,1613005198
Suntar,62.1444,117.6319,-8.91,90,100,4.36,RU,1613005198
Mahon,39.8885,4.2658,48.2,87,0,5.75,ES,1613005198
Djibo,14.1022,-1.6306,73.98,17,0,7.7,BF,1613005198
Saint-Augustin,51.226,-58.6502,13.19,96,100,10.25,CA,1613005198
Fukagawa,43.7081,142.0392,21.2,86,75,1.95,JP,1613005198
Springdale,36.1867,-94.1288,23.0,100,90,5.75,US,1613005198
Honiara,-9.4333,159.95,85.71,66,99,4.74,SB,1613005198
Pyu,18.4833,96.4333,65.79,50,0,1.52,MM,1613005199
Comodoro,-13.6631,-59.7858,70.34,95,100,0.76,BR,1613005199
Palapye,-22.546,27.1251,69.62,78,100,8.03,BW,1613005199
Avera,33.194,-82.5271,64.4,92,1,4.61,US,1613005199
Krasnyy,54.5678,31.4333,-1.64,93,100,4.52,RU,1613005199
Constitución,-35.3333,-72.4167,61.83,91,79,1.16,CL,1613005199
Tabas,33.5959,56.9244,50.0,27,100,4.61,IR,1613005199
Belyy,55.8402,32.9419,0.81,93,100,4.34,RU,1613005199
Kollam,8.8833,76.6,75.2,60,20,2.3,IN,1613005199
Vikhorevka,56.1201,101.1636,-4.0,84,40,6.71,RU,1613005200
Verkhnetulomskiy,68.6073,31.7962,8.6,92,75,2.24,RU,1613005200
High,33.6123,-95.7472,28.99,95,100,11.54,US,1613005200
Partāpur,23.6,74.1667,61.84,31,52,3.89,IN,1613005201
Port,-7.0349,29.7638,72.52,75,100,6.26,CD,1613005184
Muscat,23.6139,58.5922,68.0,64,0,3.44,OM,1613005201
Naze,28.3667,129.4833,59.0,82,75,12.66,JP,1613005204
Sao,20.5113,76.2129,61.02,30,100,2.08,IN,1613005194
Caranavi,-15.8167,-67.55,62.8,96,100,1.74,BO,1613005209
Regidor,8.6657,-73.8215,84.18,54,75,4.38,CO,1613005210
Umbertide,43.3055,12.3366,46.0,76,67,3.42,IT,1613005214
San,13.3034,-4.8956,77.22,17,91,8.72,ML,1613004919
Lębork,54.5392,17.7501,15.8,92,75,1.14,PL,1613005216
Aripuanã,-9.1667,-60.6333,73.72,97,100,2.59,BR,1613005216
Kaeo,-35.1,173.7833,70.0,80,100,5.01,NZ,1613005217
Donja,42.9798,19.6763,40.98,88,100,6.55,ME,1613005217
Orodara,10.9492,-4.9342,84.2,23,0,6.91,BF,1613005218
Bacolod City,10.6667,122.95,82.22,73,11,1.9,PH,1613005218
Blagoyevo,63.3667,47.9167,-14.8,88,0,3.31,RU,1613005219
Coyhaique,-45.5752,-72.0662,77.0,36,98,2.3,CL,1613005219
Flinders,-34.5833,150.8552,80.01,60,0,4.0,AU,1613005220
Ruidoso,33.3317,-105.673,50.0,17,20,8.05,US,1613005220
Chicama,-7.8447,-79.1469,73.4,83,100,8.05,PE,1613005221
High,33.6123,-95.7472,28.99,95,100,11.54,US,1613005221
Williams Lake,52.1415,-122.1445,-9.4,64,20,8.05,CA,1613005209
Novyy,45.0072,38.9819,48.0,93,0,11.18,RU,1613005222
Hofn,64.2539,-15.2082,38.97,73,100,13.49,IS,1613005222
Corn,44.6075,1.8957,41.0,93,90,9.22,FR,1613005222
Timizart,36.8,4.2667,51.91,94,52,5.53,DZ,1613005106
Kimberley,-28.7323,24.7623,69.8,88,0,1.14,ZA,1613005207
Champagnole,46.7445,5.9135,25.0,91,92,13.0,FR,1613005223
Portland,45.5234,-122.6762,46.0,60,100,1.01,US,1613004632
Gorontalo,0.5412,123.0595,85.71,70,100,1.7,ID,1613005223
Saldanha,-33.0117,17.9442,64.4,82,0,5.75,ZA,1613005224
Ligayan,4.6533,119.4706,82.85,71,0,2.13,PH,1613005224
Sao,20.5113,76.2129,61.02,30,100,2.08,IN,1613005194
Boyolangu,-8.1181,111.8935,80.11,77,84,1.54,ID,1613005224
Hasaki,35.7333,140.8333,50.0,46,20,10.36,JP,1613005225
Longido,-2.7333,36.6833,65.8,79,71,1.81,TZ,1613005225
Belawan,3.7755,98.6832,77.0,100,40,2.3,ID,1613005226
Tiznit Province,29.5833,-9.5,54.55,84,0,1.23,MA,1613005226
Abnūb,27.2696,31.1511,53.6,62,0,5.75,EG,1613005226
Gonder,12.6,37.4667,53.08,43,100,4.38,ET,1613005227
Tashla,51.7716,52.7427,14.63,96,100,9.53,RU,1613005228
Alyangula,-13.8483,136.4192,86.0,74,100,8.05,AU,1613005228
Mazagão,-0.115,-51.2894,80.6,89,90,2.3,BR,1613005228
Palāsa,18.7667,84.4167,63.9,69,0,3.51,IN,1613005229
Manzanillo,20.3433,-77.1167,76.64,70,40,10.96,CU,1613005229
Fort,52.6517,6.3861,26.6,74,90,3.44,NL,1613004950
Āsosa,10.0667,34.5333,63.59,29,100,4.52,ET,1613005230
Bengkulu,-3.8004,102.2655,77.49,78,1,3.83,ID,1613005230
Dali,25.7,100.1833,44.28,71,3,2.98,CN,1613005231
Zharkent,44.1628,80.0,30.4,94,96,1.81,KZ,1613005231
Spornoye,50.8448,37.2913,23.0,100,90,4.47,RU,1613005231
Kudinovo,54.9994,36.2533,5.0,85,97,6.71,RU,1613005232
Yetkul',54.8221,61.588,-13.0,77,75,2.24,RU,1613005233
College,64.8569,-147.8028,6.01,60,90,3.44,US,1613005233
Makakilo,21.3524,-158.0865,80.6,44,75,9.22,US,1613005233
Vilhena,-12.7406,-60.1458,70.0,100,100,1.97,BR,1613005234
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.0,59,40,17.9,RU,1613005081
Santa,17.486,120.4348,80.35,71,57,3.27,PH,1613005234
Saryozek,44.3583,77.9753,33.66,95,100,3.67,KZ,1613005235
Rolla,37.9514,-91.7713,14.0,85,90,10.36,US,1613005235
Orange,33.7,-117.7675,60.01,70,0,3.0,US,1613005232
Annur,11.2333,77.1333,64.4,82,20,4.61,IN,1613005235
Kokoda,-8.8785,147.7407,90.12,42,100,1.79,PG,1613005236
Khovd,48.0056,91.6419,9.25,56,17,4.92,MN,1613005236
Beyneu,45.3167,55.2,35.04,88,1,12.44,KZ,1613005236
Horta,38.5333,-28.6333,57.24,67,37,34.16,PT,1613005236
Richards,46.8361,-95.9123,-11.2,70,40,4.61,US,1613005237
Namatanai,-3.6667,152.4333,82.96,76,86,5.14,PG,1613005237
